Age Group,Dark No street lights,Dark Street lights off,Dark Street lights on,Dark Street lights unknown,Day,Dusk/Dawn,Unknown
0-4,15,3,92,2,614,69,4
13-15,46,2,166,3,533,90,5
16-17,88,11,306,11,615,92,4
17-21,356,43,1641,59,2551,635,28
22-25,204,22,1130,27,2065,471,20
26-29,133,13,720,22,1797,422,18
30-39,266,26,1359,49,4289,839,23
40-49,183,23,938,21,3821,682,27
50-59,122,14,581,18,2673,471,23
60-64,31,6,174,9,831,127,6
64-69,20,2,89,3,639,80,6
70+,22,,159,4,1518,152,9
unknown,63,11,467,16,1350,210,14
,,,,,,,
